review,rating,date,bank,source
አፕሊኬሽኑን አብዴት ካደረኩት በኋላ የሚስጥር ቁጥር አጭር ስለሆነ ቀይር ብሎኝ ለሶስት ቀናት ብሞክር unable to connect the server ከማለቱም በላይ አፕሊካሽኑ እየሰራልኝ አይደለም🙏🙏,1,8/22/2025,CBE,Google Play Store
"I love this app. really, but with some downsides too. Screenshot is mandatory after every transaction as to me, I need screenshots not downloaded recipient. It would be even better if transaction history is available via this app for months that we can access directly or via calender ways. Thanks.",4,8/22/2025,CBE,Google Play Store
👍,5,8/22/2025,CBE,Google Play Store
it is good app,5,8/22/2025,CBE,Google Play Store
good and always try to make new updats 🙏👍,5,8/22/2025,CBE,Google Play Store
"I use the Commercial Bank of Ethiopia mobile app, and it’s fantastic! The interface is user-friendly, making it easy to check balances and transfer money. I love the bill payment feature, and the security measures give me peace of mind. Overall, it’s a reliable app that has simplified my banking experience. Highly recommend!",5,8/22/2025,CBE,Google Play Store
i don' want,5,8/22/2025,CBE,Google Play Store
"it's very nice simple and convenient app! but I have only one comment on double verifications after the finger prints. even thought its good for makin' it more secure, Its not neccessary to double verify after the finger print verification. no need to verify by pin again. thank you!",5,8/22/2025,CBE,Google Play Store
one of the best,5,8/21/2025,CBE,Google Play Store
"why is it every time the app is updated history of previous account numbers keeps missing , WHY??",1,8/21/2025,CBE,Google Play Store
You guys charge way to much when we transfer money from CBE to Telebirr via this app,3,8/21/2025,CBE,Google Play Store
not bad apk,1,8/21/2025,CBE,Google Play Store
yes these app is so good for our saving and marketing system go ETHIOPIA GO!!!,5,8/21/2025,CBE,Google Play Store
best mobile banking App that have seen .,5,8/21/2025,CBE,Google Play Store
It's very helpful apps,5,8/20/2025,CBE,Google Play Store
Every major update means you have to go back to Ethiopia to make the app work. In 2025?,2,8/20/2025,CBE,Google Play Store
"Unable to connect, pls. Improve the system",5,8/20/2025,CBE,Google Play Store
well app,5,8/20/2025,CBE,Google Play Store
"Smart service But, your service charge is too high",5,8/20/2025,CBE,Google Play Store
perfect 👌 keep,5,8/20/2025,CBE,Google Play Store
"እባካችሁ አፑ ጥሩ ነው ነገር ግን በፈለግነው ጊዜና ሰአት መጠቀም አልቻልንም ኔትዎርክ እያለ እንኳ እያስጠቀመን አይደለም""""",2,8/20/2025,CBE,Google Play Store
excellent plus,5,8/20/2025,CBE,Google Play Store
Would be great if it displays service fees before proceeding with transaction.,4,8/20/2025,CBE,Google Play Store
so disappointing :((,1,8/20/2025,CBE,Google Play Store
what nice app i never usedyet,4,8/20/2025,CBE,Google Play Store
Excellent,5,8/20/2025,CBE,Google Play Store
ke gizew ga emihed astemamagn metegberya,1,8/20/2025,CBE,Google Play Store
"this app is pretty good. The recent one was the nicest. however after the update, it restricts me from taking a screenshot. i would be happy if you remove screenshots restriction policy from this app. why I gave it five stars was because of the past performances of this app. keep in mind to remove the screenshot restriction policy from this app. and also it has no self authorizations. once uninstalled it needs extra sim cards and wants to visit nearby banks in person.",5,8/20/2025,CBE,Google Play Store
Send money for some account but don't reserved Ball,5,8/19/2025,CBE,Google Play Store
very good🙏🙏,5,8/19/2025,CBE,Google Play Store
good,1,8/19/2025,CBE,Google Play Store
I recognized thank you,5,8/19/2025,CBE,Google Play Store
Best feature!!,5,8/19/2025,CBE,Google Play Store
the saved account totally removed ..why????????,1,8/19/2025,CBE,Google Play Store
good bank Ethiopian very nic,5,8/18/2025,CBE,Google Play Store
this good app but screenshot must enable,4,8/18/2025,CBE,Google Play Store
በፊት ብር ትራንስፈር የተደረገባቸዉን አካዉንቶች remove አርጓል የሚያናድድ update ነው ::,1,8/18/2025,CBE,Google Play Store
Good,4,8/18/2025,CBE,Google Play Store
change mobile banking CBE,5,8/18/2025,CBE,Google Play Store
The process of updating is not functioning easily. Installing is easy than updating. Screenshot should not be prevented. it is an instant evidence needed for some transactions.,2,8/18/2025,CBE,Google Play Store
Adisi Deti,5,8/17/2025,CBE,Google Play Store
this app is the good apps,5,8/17/2025,CBE,Google Play Store
አሪፋ ነዉ ነገር ግን Recent Transaction በጣም የቆየዉን ነዉ የሚያሳይ Evene refresh ሁሉ ሲደረግ ትክክለኛ የቅርብ Transaction አያሳይም። Please አስተካክሉት,2,8/15/2025,CBE,Google Play Store
congra ethio,5,8/15/2025,CBE,Google Play Store
እንዲሁ ነው የሰተኋችሁ ለሞራል,5,8/15/2025,CBE,Google Play Store
good jop,5,11/27/2025,BOA,Google Play Store
ok,5,11/27/2025,BOA,Google Play Store
bad exprience...it is so crushed,1,11/27/2025,BOA,Google Play Store
not user friendly at all it requires a huge connectivity and also lags many times 😑😑😑,1,11/26/2025,BOA,Google Play Store
ምንም የማይ ሰራ,1,11/26/2025,BOA,Google Play Store
very good,5,11/25/2025,BOA,Google Play Store
most of the time is not working properly,1,11/25/2025,BOA,Google Play Store
good service,5,11/24/2025,BOA,Google Play Store
not use for me,3,11/23/2025,BOA,Google Play Store
It keeps notifying me to disable developer options and quiet while I'm not enabled. always bring another type of problem with new updates.,1,11/22/2025,BOA,Google Play Store
waw,5,11/20/2025,BOA,Google Play Store
the lag is unbelievable when you need it the most this suks,1,11/19/2025,BOA,Google Play Store
I cant belive I could find the worst bank app ever .yet very simple to fix the problem and the company just ignored it. no body can do business with this kind of app.,1,11/18/2025,BOA,Google Play Store
it is a good app,5,11/18/2025,BOA,Google Play Store
it is not working at all,1,11/15/2025,BOA,Google Play Store
🥰🥰🥰🥰🥰 app is good but i was live in abroad and when i enter my otp code it didnt make me to write my code it the app want it self write thats not fair so please other wise i like it why,5,11/15/2025,BOA,Google Play Store
when trying to activate the app it keeps on loading on the security questions page. It has been two days,1,11/13/2025,BOA,Google Play Store
fast and simple,5,11/10/2025,BOA,Google Play Store
best of best,5,11/10/2025,BOA,Google Play Store
Worest Banking App Ever I seen. Fake App Bad Better to Leave,1,11/10/2025,BOA,Google Play Store
good,4,11/10/2025,BOA,Google Play Store
"I would like to share feedback regarding the application. It frequently experiences disruptions and does not function properly, often freezing or failing to load. This issue is affecting workflow and efficiency. Kindly review and address this problem to ensure smoother performance.",1,11/8/2025,BOA,Google Play Store
Meet you genuine.App I tried is not functional.Helping.welldoingwith BOA Ethiopia .fastandrelevant.morconnecting Digitalyworld.Digitalyworld. thanks.,5,11/8/2025,BOA,Google Play Store
best app,5,11/8/2025,BOA,Google Play Store
Best app,5,11/7/2025,BOA,Google Play Store
"Barely works, it always fails to connect",1,11/7/2025,BOA,Google Play Store
my fav app,5,11/7/2025,BOA,Google Play Store
this app launch time is so long also has dozen bugs in addition it's has been long time get update,1,11/5/2025,BOA,Google Play Store
very nice,5,11/4/2025,BOA,Google Play Store
"Your application is very irritating to use, some functionality doesn't even work like on the card management. You need to do better than this and it good idea to reference other banking applications.",3,11/4/2025,BOA,Google Play Store
I like,5,11/2/2025,BOA,Google Play Store
ወይ አሻሽሉትና እንጠቀምበት ያለያ ብታጠፉት ይሻላል። በቃ ምንም ነገር አይሰራም መተግበሪያ አለን ብላችሁ እንዳታወሩ ለማንም የማይመከር ቀርፋፋና ተግባር የለሽ መተግበሪያ,1,11/1/2025,BOA,Google Play Store
i m sorry but it doesn't work for my android it is too slow but other bank are very fast please update,1,10/30/2025,BOA,Google Play Store
"the worst app ever,",1,10/30/2025,BOA,Google Play Store
better,5,10/29/2025,BOA,Google Play Store
"I kindly request that Bank of abyssinia address issues with its mobile app. It is very slow, has numerous problems, and frequently experiences downtime. The user experience is also poor. Thank you.",1,10/28/2025,BOA,Google Play Store
this app can't open? what is problem? please solve my problem?,1,10/27/2025,BOA,Google Play Store
kiyaa makonn,5,10/27/2025,BOA,Google Play Store
very very lazy app,1,10/26/2025,BOA,Google Play Store
telebirr remittance,5,10/24/2025,BOA,Google Play Store
The best bank in 🇪🇹,5,10/23/2025,BOA,Google Play Store
its good,5,10/22/2025,BOA,Google Play Store
the worst app in my financial experience.,1,10/22/2025,BOA,Google Play Store
good for mb appliciation,5,10/21/2025,BOA,Google Play Store
the worst bank ever. slow don't accept dual sim. they are very stupid and greedy,1,10/20/2025,BOA,Google Play Store
try to easy network,4,10/17/2025,BOA,Google Play Store
hussen hassen umer,5,10/16/2025,BOA,Google Play Store
"The app is not suitable and lacks a good UI design. As a large bank, you must update your app with a professional UI that is fast and appropriate.",2,10/16/2025,BOA,Google Play Store
an exceptional banking app.,5,10/16/2025,BOA,Google Play Store
alhamdulilah,5,10/11/2025,BOA,Google Play Store
poor,5,10/10/2025,BOA,Google Play Store
Best of best,5,10/9/2025,BOA,Google Play Store
from the last week updates the app is not working Please check the problems,1,10/8/2025,BOA,Google Play Store
It's always crushing,1,10/8/2025,BOA,Google Play Store
office branches have to improve their services please,4,10/7/2025,BOA,Google Play Store
♥️♥️,5,10/5/2025,BOA,Google Play Store
Why does it keep crashing? I can't even use this. BOA should do better. You have many customers and how to deal with this. I can't send money now.,1,10/5/2025,BOA,Google Play Store
it needs a timely update,5,10/3/2025,BOA,Google Play Store
"It does not show the name of the person who sent the money to request a receipt. This has become very difficult for us. When different people transfer the same amount to me from different banks, it is very difficult to identify the account or the name of the sender.",3,10/1/2025,BOA,Google Play Store
Like,5,10/1/2025,BOA,Google Play Store
I can't type my otp on it.,1,10/1/2025,BOA,Google Play Store
"most of bank apps in Ethiopia are linked with ethiopian phone number, I live in US permanently so when I open BoA account, I told them where I live and to link it with email address instead of phone # as ethio phone number is not working where I live, unfortunetly my fear appeared and now when I change my phone device, it send the code to the ethio number which is not with me now. so please when u develop bank apps consider the diaspora community to use ur apps",1,10/1/2025,BOA,Google Play Store
jaajja,4,9/30/2025,BOA,Google Play Store
I love this bank the best experience ever.,5,9/27/2025,BOA,Google Play Store
"Nothing has been improved, it doesn't work like the previous version.",1,9/25/2025,BOA,Google Play Store
easy and fast,5,9/23/2025,BOA,Google Play Store
Great,5,9/20/2025,BOA,Google Play Store
mobile banking,5,9/19/2025,BOA,Google Play Store
😎,5,9/17/2025,BOA,Google Play Store
"need alot of connection, chooses device, very lug even when there is connection",1,9/17/2025,BOA,Google Play Store
On my ios it's perfect but on android it barley works and don't transfer and after a while it crushed and totally stopped working. Please fix the issue my beloved bank of abyssinia.,1,9/15/2025,BOA,Google Play Store
since the last update i can open the app crashes a lot and omg its being very slow opening and loading,2,9/15/2025,BOA,Google Play Store
none,5,9/14/2025,BOA,Google Play Store
good,2,9/13/2025,BOA,Google Play Store
good,5,9/12/2025,BOA,Google Play Store
very good app i ever used,5,9/12/2025,BOA,Google Play Store
its nice app especially the transaction limit is extended but We face that BoA m.banking app doesn't respond at the activation stage strictly at SMSNG mobile phone. please try this to make safe.,4,9/11/2025,BOA,Google Play Store
zedo,5,9/10/2025,BOA,Google Play Store
please open my mobile app,5,9/10/2025,BOA,Google Play Store
it doesn't open,1,9/10/2025,BOA,Google Play Store
Very Good,5,9/8/2025,BOA,Google Play Store
masha alla,5,9/7/2025,BOA,Google Play Store
Best banking transaction application in Ethiopia !,5,9/5/2025,BOA,Google Play Store
السلام عليكم ورحمة الله وبركاته ماشاء الله تبارك الرحمن هذا التطبيق ممتاز جدا,5,9/4/2025,BOA,Google Play Store
tamaam kamal,1,9/3/2025,BOA,Google Play Store
በጣም ሐሪፍ,5,9/3/2025,BOA,Google Play Store
great 👍,5,9/2/2025,BOA,Google Play Store
goof,4,9/1/2025,BOA,Google Play Store
absiniya banki,5,8/29/2025,BOA,Google Play Store
has issue after installation and i think it doesn't work with tecno common 30,1,8/26/2025,BOA,Google Play Store
One of the best in this business,5,8/25/2025,BOA,Google Play Store
Excellent,5,8/20/2025,BOA,Google Play Store
besat🥰,5,8/19/2025,BOA,Google Play Store
unlimited experience,5,8/18/2025,BOA,Google Play Store
"as bank, u should at least hire someone good at their job bc this a joke nowadays I can't even log in or even transfer without it crashing if u fix the app I will update this review I am counting on u boa update: so they atleast fixed it but as suggestion can u put password when in final step of sending money it will feel more secure that way",4,8/16/2025,BOA,Google Play Store
very nice mobile banking app my favourite,5,8/16/2025,BOA,Google Play Store
"it almost never boots up!!! and even if it did, it crashes immediately",1,8/15/2025,BOA,Google Play Store
best apps,5,8/15/2025,BOA,Google Play Store
the worst app ever to exist in a bank history,1,8/15/2025,BOA,Google Play Store
thank you,5,8/14/2025,BOA,Google Play Store
Best mobile app in the country,5,8/14/2025,BOA,Google Play Store
not fast,2,8/12/2025,BOA,Google Play Store
keeps freezing at the front page.,1,8/10/2025,BOA,Google Play Store
it is not working on redminote 11 pro+ pls fix it,1,8/8/2025,BOA,Google Play Store
abseniya bank app,5,8/7/2025,BOA,Google Play Store
yes goode app,5,8/3/2025,BOA,Google Play Store
Great App,5,8/2/2025,BOA,Google Play Store
1) Crashes repeatedly 2) Takes Century to Boot 3) Repeatedly requires Update which is very annoying. 4) It doesn't ask for Password for one step confirmation when transferring money. 5) Automatically stops music when the app is launched (it doesn't really matter just fyi) Overall this have to be the worst mobile banking app I have tried so far and should not be released with all these bugs & issues.,1,8/2/2025,BOA,Google Play Store
ረጀብነሱ,1,7/31/2025,BOA,Google Play Store
The Worst Mobile Banking App.,1,7/31/2025,BOA,Google Play Store
giod,5,7/30/2025,BOA,Google Play Store
best bank in ethiopia,5,7/29/2025,BOA,Google Play Store
waqayyoo,5,7/28/2025,BOA,Google Play Store
please is not working,2,7/27/2025,BOA,Google Play Store
nothing when I need to install the Apk it say that re-up date,5,7/25/2025,BOA,Google Play Store
I can log in from any where,5,7/22/2025,BOA,Google Play Store
😇,3,7/20/2025,BOA,Google Play Store
no proplem,5,7/20/2025,BOA,Google Play Store
👍👍👍,5,7/19/2025,BOA,Google Play Store
excellent app,5,7/18/2025,BOA,Google Play Store
good work,5,7/15/2025,BOA,Google Play Store
☹️,5,7/15/2025,BOA,Google Play Store
excellent,5,7/14/2025,BOA,Google Play Store
Great BoA,5,7/14/2025,BOA,Google Play Store
Good,5,7/14/2025,BOA,Google Play Store
Okay,4,7/13/2025,BOA,Google Play Store
not working,1,7/12/2025,BOA,Google Play Store
This App is Getting worse and worse with every update,2,7/11/2025,BOA,Google Play Store
ምርጥ ነው,1,7/10/2025,BOA,Google Play Store
nice,5,7/10/2025,BOA,Google Play Store
meku,5,7/7/2025,BOA,Google Play Store
nice,4,7/4/2025,BOA,Google Play Store
awasome app go a head,5,7/4/2025,BOA,Google Play Store
it sucks as hell. it crashes most of the time and takes a long time to load .,1,7/2/2025,BOA,Google Play Store
"The App is nice and easy to use but after some time it crushed and said ""Error check your device connectivity"" please fix it",3,7/2/2025,BOA,Google Play Store
Easy and very nice app to load more than the previouse but in recent time some loading problem detected.,5,7/1/2025,BOA,Google Play Store
wow,5,7/1/2025,BOA,Google Play Store
"The worst MBA I have experienced, The app crush frequently and they take to long to fix the problem even more than a week.",1,6/27/2025,BOA,Google Play Store
amazing Banks App👌👌,3,6/25/2025,BOA,Google Play Store
goof,5,6/25/2025,BOA,Google Play Store
good App fore me,5,6/25/2025,BOA,Google Play Store
"very uninterested it's not working when the ""developer mode on"" i haven't off the developer options i preferred to uninstall your app .....",1,6/24/2025,BOA,Google Play Store
fantastic,5,6/22/2025,BOA,Google Play Store
👍,4,6/21/2025,BOA,Google Play Store
it's nice to use.,5,6/21/2025,BOA,Google Play Store
app doesn't start,1,6/21/2025,BOA,Google Play Store
Excellent application,5,6/18/2025,BOA,Google Play Store
its very bad app its very slow,1,6/17/2025,BOA,Google Play Store
ብዙዬ ሺዋየ በለጠ,1,6/15/2025,BOA,Google Play Store
good,1,6/15/2025,BOA,Google Play Store
Good job!,5,6/13/2025,BOA,Google Play Store
best financial app.,5,6/12/2025,BOA,Google Play Store
ቆንጆ ነው በርቱ,5,6/11/2025,BOA,Google Play Store
the worst app humans ever created,1,6/9/2025,BOA,Google Play Store
it's not working,3,6/5/2025,BOA,Google Play Store
"Hello, I’m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says “BoaMobile closed because this app has a bug.” I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",1,6/3/2025,BOA,Google Play Store
exceptional,5,6/3/2025,BOA,Google Play Store
BoA Mobile good bank,5,6/2/2025,BOA,Google Play Store
this is worest app 24/7 loading,1,6/1/2025,BOA,Google Play Store
BoA system is confartable,5,5/31/2025,BOA,Google Play Store
"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",1,5/27/2025,BOA,Google Play Store
Good service.,3,5/25/2025,BOA,Google Play Store
the app crush frequently,1,5/24/2025,BOA,Google Play Store
You guys keeps getting worst,1,5/22/2025,BOA,Google Play Store
"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Can’t log in, can’t transfer money, can’t even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career path🙏",1,5/21/2025,BOA,Google Play Store
BoA,2,5/20/2025,BOA,Google Play Store
but not opening on android,4,5/19/2025,BOA,Google Play Store
Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,1,5/18/2025,BOA,Google Play Store
amazing,5,5/18/2025,BOA,Google Play Store
"this app does no work on Samsung a51, it just gives a preview of the logo",1,5/11/2025,BOA,Google Play Store
"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",5,5/10/2025,BOA,Google Play Store
liking this application good 👍,5,5/7/2025,BOA,Google Play Store
"This app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and OTP sent not work",1,5/6/2025,BOA,Google Play Store
it's really good 👍,5,4/23/2025,BOA,Google Play Store
Bad app . it stuck when you open and noting WORKS.,1,4/23/2025,BOA,Google Play Store
"the app isn't working after it asked me the password it starts loading, but it doesn't open",3,4/20/2025,BOA,Google Play Store
Best,2,4/19/2025,BOA,Google Play Store
It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,1,4/19/2025,BOA,Google Play Store
yideg,1,4/17/2025,BOA,Google Play Store
great boa,5,4/10/2025,BOA,Google Play Store
Best,5,4/10/2025,BOA,Google Play Store
boa of mobile backing,5,4/9/2025,BOA,Google Play Store
faster bank of Abissinya,5,4/8/2025,BOA,Google Play Store
i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,1,4/8/2025,BOA,Google Play Store
it just doesn't work...so frustrating,1,4/7/2025,BOA,Google Play Store
like,5,4/6/2025,BOA,Google Play Store
it's not work correctly... you must have update it,1,4/6/2025,BOA,Google Play Store
"the app gets a considerable improvements like language , QR scanner and unlimited transfers survice. but BOA Please do alot on its fastness and convenient when we login and making a transactions.",5,4/4/2025,BOA,Google Play Store
after i typed in my password it says successfully logged out ...and goes back to the first page,2,4/4/2025,BOA,Google Play Store
good but they don't update enough don't add new things,3,4/4/2025,BOA,Google Play Store
it doesn't work period z slowest mobile banking ever i would rather use *815#,1,3/31/2025,BOA,Google Play Store
"after activated the application it not allowed to sign , automatically it is turn off In my phone, why ?",1,3/31/2025,BOA,Google Play Store
good application,5,3/30/2025,BOA,Google Play Store
this version is not working for me I cannot even buy card. I cannot send money,1,3/30/2025,BOA,Google Play Store
"It can't actively on initialization, it says incorrect OTP getting the exact OTP",1,3/29/2025,BOA,Google Play Store
always problematic hardly works,1,3/26/2025,BOA,Google Play Store
considering the fact the bank is huge this app really bad you could do better,1,3/25/2025,BOA,Google Play Store
"worst app and Bank ever u be ashamed, scammer",1,3/24/2025,BOA,Google Play Store
great BoA,5,3/22/2025,BOA,Google Play Store
best,5,3/21/2025,BOA,Google Play Store
i have went to the bank so many times because i couldn't make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i can't make any transaction with it please work in that,1,3/21/2025,BOA,Google Play Store
there is no speed,1,3/19/2025,BOA,Google Play Store
"For anyone who wants to download it, just don't!!!",1,3/19/2025,BOA,Google Play Store
wonderful,5,3/19/2025,BOA,Google Play Store
all worck,5,3/19/2025,BOA,Google Play Store
Loved it,5,3/14/2025,BOA,Google Play Store
Wow,1,3/13/2025,BOA,Google Play Store
"Edit: New bug, app not letting me type in my otp codes. Shameful Why does this app not allow me to use it while having developer options on? Did y'all consider that I might, perhaps, be an actual developer? Why am I expected to toggle the option on and off just to bank (restarting my phone when I do)? Why is the message labled as somthing that will ""smoothen"" the experience? This is like the most ""security consultant"" thing to implement in an app. Please invest in actual security, not this mess.",1,3/12/2025,BOA,Google Play Store
Improved to be the best,5,3/11/2025,BOA,Google Play Store
BoA,5,3/11/2025,BOA,Google Play Store
"Decent, but there problems sometimes it says error When i transfer money but infact it transferred because of this bug i transferred 2 times instead of 1 and also we can't transfer money to others telebirr acc we only can to our self BOE Dev fix this !!!",3,3/11/2025,BOA,Google Play Store
BoA Greqt Ethiopian bank.,5,3/11/2025,BOA,Google Play Store
"The bug is still there,the app crashes every time i try to log in, especially in old phones like my Galaxy A32",1,3/10/2025,BOA,Google Play Store
Almost better compared to cbe where it is not qualified for,4,3/9/2025,BOA,Google Play Store
what awesome apps. it is very simple to use and more much important apps.,5,3/9/2025,BOA,Google Play Store
Wonderfull app,5,3/8/2025,BOA,Google Play Store
i can't use this app why?,5,3/7/2025,BOA,Google Play Store
Worst mobile banking app I ever experienced I was blaming other apps but comparing with this they're too much better!!!! It clashes it takes much longer time to login while loading in short it's a complete of trash,1,3/6/2025,BOA,Google Play Store
Wow,4,3/5/2025,BOA,Google Play Store
bro the worst app made by human kind!! as a software engineer it make me so sad seeing enterprise as big as BOA make apps like this. it is a disgrace for our country!!,1,3/5/2025,BOA,Google Play Store
AGA B Girja Miss language of admin Afaan oromo & other Itoophiyaa languages,1,3/4/2025,BOA,Google Play Store
Good app,5,3/3/2025,BOA,Google Play Store
"I downloaded the app for the first time while reading other customers reviews and as soon as i installed and opened the app it closes back automatically, what unserious bank, now i uninstalled the app immediately",1,3/3/2025,BOA,Google Play Store
It has good features but sometimes it doesn't work...0,1,3/2/2025,BOA,Google Play Store
Very poor proformance,1,3/1/2025,BOA,Google Play Store
It's not opening. Really frustrating,1,3/1/2025,BOA,Google Play Store
Verry Amazing App from all IB,5,3/1/2025,BOA,Google Play Store
Not working on this days,1,2/26/2025,BOA,Google Play Store
Thank you BoA,5,2/23/2025,BOA,Google Play Store
best banking app in the wworld,5,2/22/2025,BOA,Google Play Store
Nice app and it's easy to use,5,2/21/2025,BOA,Google Play Store
"please add language in the apps setting(amharic afan oromo, tigniya,and others) sometimes bank to bank transfer is not available through time and even if if it is available not reachable…it is serious issue!",1,2/15/2025,BOA,Google Play Store
This is help full i like ittttt,5,2/14/2025,BOA,Google Play Store
The is not functional at all?,2,2/12/2025,BOA,Google Play Store
Best bank,5,2/8/2025,BOA,Google Play Store
Make it easy and convienient to use and perfect for all to high prefrence and choice.,3,2/7/2025,BOA,Google Play Store
🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹👍👍👍👍👍👍👍,5,2/4/2025,BOA,Google Play Store
I have been using this app for two years.It is amazing.,5,1/31/2025,BOA,Google Play Store
Good 👍,5,1/31/2025,BOA,Google Play Store
Sad experience,1,1/30/2025,BOA,Google Play Store
Always do update and that is annoying,3,1/27/2025,BOA,Google Play Store
"Best app, somehow waiting a few minutes",5,1/23/2025,BOA,Google Play Store
I can't dijitalize my atm in the apollo app on my phone,1,1/21/2025,BOA,Google Play Store
Whenever I try to sign in app close please fixed it out,2,1/21/2025,BOA,Google Play Store
Beter,5,1/21/2025,BOA,Google Play Store
Boa,4,1/18/2025,BOA,Google Play Store
በጣም የሚያስጠላ አፕ በጣም የወረደ ዜሮ ነው የምሰጠው ዘሮ It's not App it's very slow ehhhh. Why don't you upgrade the app???? It's always zero,1,1/18/2025,BOA,Google Play Store
Aadan Axmed Barkhadle,5,1/17/2025,BOA,Google Play Store
😡😡😡🤬🤬🤬,1,1/16/2025,BOA,Google Play Store
Horrible customer service and app crashes Horrible!!,1,1/15/2025,BOA,Google Play Store
I love it,5,1/14/2025,BOA,Google Play Store
It keeps asking me to turn off developer mode even when dev mode is off. Couldn't use it.,1,1/13/2025,BOA,Google Play Store
Good🙏,5,1/11/2025,BOA,Google Play Store
Like to much,5,1/11/2025,BOA,Google Play Store
Thank you,5,1/10/2025,BOA,Google Play Store
Perfect,5,1/9/2025,BOA,Google Play Store
The best of best,5,1/9/2025,BOA,Google Play Store
I was using this app for long time it amazing user friendly UI but the i can't found for get pin button in the app,3,1/7/2025,BOA,Google Play Store
Boa,5,1/6/2025,BOA,Google Play Store
Great 👍,5,1/4/2025,BOA,Google Play Store
Fast and suitable for the customers.,5,1/4/2025,BOA,Google Play Store
Good app and helpful,5,1/3/2025,BOA,Google Play Store
"I will give only one star, because it faced with multiple of problems. 1. The app is not as fast as the other banks App, for e.g like CBE 2. The App asks repeatedly to switch off developer options, even if it is switched off. 3. Bank of Abyssinia's services are interesting, but they ignored the issues on the App service. 4. Most customers gave a complain on the App, but no one accept their complain to fix the issue. 5. Lastly, I will not recommend the App unless the issue has been solved ASAP!!",1,1/2/2025,BOA,Google Play Store
By assessing this you can tell Abyssinia bank has no idea what mobile banking is ?,1,1/2/2025,BOA,Google Play Store
It doesn't work at all.,2,1/2/2025,BOA,Google Play Store
this app is not available,1,1/2/2025,BOA,Google Play Store
Wow what amazing,5,12/30/2024,BOA,Google Play Store
love it,5,12/30/2024,BOA,Google Play Store
በጣም መሻሻል አለበት....... ለ ባንኩ ማይመጥን መተግበርያ ነው ::,2,12/30/2024,BOA,Google Play Store
Lemn embi yilal??,5,12/30/2024,BOA,Google Play Store
It's useless app downgraded.,1,12/29/2024,BOA,Google Play Store
Why is not letting me access my account. The whole point of this app is for me to gey access to my account without physically being at the bank. I would give it a zero but a one will suffice to get my point accross.,1,12/27/2024,BOA,Google Play Store
Nice,5,12/26/2024,BOA,Google Play Store
When are you going to get rid of this and have a real app that works? By far the worst mobile banking app.,1,12/23/2024,BOA,Google Play Store
አይሰራም ሼም ነው፤,1,12/23/2024,BOA,Google Play Store
Not that much bad,3,12/22/2024,BOA,Google Play Store
Fine,5,12/20/2024,BOA,Google Play Store
The dirtiest application ever seen...,1,12/20/2024,BOA,Google Play Store
Nic ap,5,12/19/2024,BOA,Google Play Store
The forest app ever,1,12/19/2024,BOA,Google Play Store
"I love BoA more than anyone but they are cursed when it comed to mobile banking. Even though this ine is hetter it still s*cks! It will ask me to turn off developer options other wise it won't work! I use CBE, Awash birr, tekebirr, Dashen bank and others but non of them asked me this, why only BoA? Please improve your mobile banking, be competitive!",1,12/18/2024,BOA,Google Play Store
Bank of abissena,1,12/17/2024,BOA,Google Play Store
Good,3,12/16/2024,BOA,Google Play Store
"Easy and sooo simple to use it, also its easy to stole someones money using the app",3,12/16/2024,BOA,Google Play Store
GOOD,5,12/14/2024,BOA,Google Play Store
The worst banking app ever. Never works!,1,12/14/2024,BOA,Google Play Store
Poorly functioning app,3,12/13/2024,BOA,Google Play Store
Very nice,5,12/13/2024,BOA,Google Play Store
Your system is the worst you should do better😡😡😡😡😡😡,2,12/10/2024,BOA,Google Play Store
It has been a while since you guys started giving the mobile app service but still couldn't get it to work. I'm sure you know that it doesn't work already but not sure if you're lazy or incompetent to fix it. You are losing business because of this. Complacency will have consequences.,1,12/10/2024,BOA,Google Play Store
"This is the best app; many features are awesome, but it should work without the need to turn off the developer options. I'm tired of having to constantly switch the developer options off and on. I've been expressing my struggles about this. I have precious settings enabled in the developer options, and to open the App Boa app, I have to turn them off. Please help us, Abyssinia Bank. I hope you can provide an update soon.",4,12/8/2024,BOA,Google Play Store
