review,rating,date,bank,source
good job,5,11/1/2025,CBE,Google Play Store
good,3,10/31/2025,CBE,Google Play Store
it is a good and clear apps to use,4,10/31/2025,CBE,Google Play Store
ለምንድን ነው ከንግድ ባንክ ወደ ቴሌብር 5 ብር ሲተላለፍ 11 ብር እንዲቆርጥ ያደረጋችሁት,1,10/31/2025,CBE,Google Play Store
I love this app b/c every option in the app very clear and supportive.,5,10/30/2025,CBE,Google Play Store
niiceh,5,10/29/2025,CBE,Google Play Store
the app is good but their is no dark mode you have to add it,3,10/29/2025,CBE,Google Play Store
🤮,1,10/29/2025,CBE,Google Play Store
abdulakim abrahim elemoo,5,10/28/2025,CBE,Google Play Store
strong,5,10/28/2025,CBE,Google Play Store
Abebaw Zenebe,5,10/28/2025,CBE,Google Play Store
good I love it keep it up but if we had a new update that will be fire Soo good,5,10/27/2025,CBE,Google Play Store
Cbe,5,10/27/2025,CBE,Google Play Store
Active and granted system,5,10/27/2025,CBE,Google Play Store
fast app,4,10/26/2025,CBE,Google Play Store
cool 😎,5,10/26/2025,CBE,Google Play Store
Galaxy A10s,3,10/26/2025,CBE,Google Play Store
the best apps,5,10/26/2025,CBE,Google Play Store
arif app new,5,10/26/2025,CBE,Google Play Store
laga Bari biranch,5,10/26/2025,CBE,Google Play Store
ነነሠነሠሠነሠሠሠሠነየነ,5,10/25/2025,CBE,Google Play Store
I would like to suggest you improve the time out as it takes the money and doesn't return it back until the next day.,3,10/25/2025,CBE,Google Play Store
Attractive,5,10/25/2025,CBE,Google Play Store
mite,5,10/24/2025,CBE,Google Play Store
useful,5,10/23/2025,CBE,Google Play Store
nice,4,10/23/2025,CBE,Google Play Store
"not good, not bad!",3,10/23/2025,CBE,Google Play Store
very good,5,10/23/2025,CBE,Google Play Store
እጅግ በጣም አስቀያሚ ጠቁአም ዘረፋ በሚባል ደርጃ የ አገልግሎት የሚቀበል ያልሰራበትን የገዛ ገንዝበባችንን ተዘረፍን ከ 100ብር 10ብር የአገልግሎት ማስከፈል ምን ማለት ነው እባካችሁ እዩት እስትይ ከ ሞባይል ባንክ ወደ ampsa አስተላልፉና እዩት በጣም ይገርማል ሌባ ብያቸዋልሁ,1,10/22/2025,CBE,Google Play Store
imp,5,10/22/2025,CBE,Google Play Store
super fast app,5,10/21/2025,CBE,Google Play Store
good app,4,10/20/2025,CBE,Google Play Store
"The app has a nice design and useful features like balance check and transfers, but it’s unstable and often fails to connect. It also forces users to turn off Developer Options, which is unnecessary — other banking apps work fine without that. Many people use Developer Mode for normal reasons. Please fix performance issues, remove this restriction, and add biometric login for better security and convenience",2,10/19/2025,CBE,Google Play Store
cbe,4,10/18/2025,CBE,Google Play Store
"it says ""ti is work any more in your device"" what can i do??",1,10/18/2025,CBE,Google Play Store
blah blah blah,5,10/18/2025,CBE,Google Play Store
bad ግዴታ መሆንሁ,1,10/17/2025,CBE,Google Play Store
CBE no.1,5,10/17/2025,CBE,Google Play Store
"it's not work correctly when it's needed sometimes, but it works sometimes though",2,10/16/2025,CBE,Google Play Store
its easy to use and more secured than the previous one. i love it and appreciate commercial bank of ethiopia for every time update.,5,10/16/2025,CBE,Google Play Store
gooof,5,10/16/2025,CBE,Google Play Store
"Suddenly the cbe application I was using stopped working and called callcenter, I was told it's because it expired and I should vist any branch to fix it. So I went to CBE Silassie branch.After filling a form they gave me, I sat down and waited until they finish fixing 2 customer's case who arrived before me. But then when it was my turn ppl who came after me with same mobile banking and even Atm card cases were finishing up and leaving I had to get back to my work so I left.with no service.why?",1,10/16/2025,CBE,Google Play Store
Best app,5,10/15/2025,CBE,Google Play Store
still not perfect like before,1,10/15/2025,CBE,Google Play Store
This app dash board is disturbing me. it is not showing me traxation and my balance while displaying others option on dashboard. I think it is a risk full app😭😭😭🤤🤤,1,10/15/2025,CBE,Google Play Store
APPLIED,1,10/14/2025,CBE,Google Play Store
10 years ago,4,10/14/2025,CBE,Google Play Store
Asefa Obsa,5,10/14/2025,CBE,Google Play Store
best app,4,10/14/2025,CBE,Google Play Store
it's good app,5,10/14/2025,CBE,Google Play Store
very slow,1,10/14/2025,CBE,Google Play Store
berhan deriba wami,4,10/13/2025,CBE,Google Play Store
mahamad Usman,5,10/13/2025,CBE,Google Play Store
Erako,5,10/13/2025,CBE,Google Play Store
🔥🔥🔥🔥🔥,5,10/13/2025,CBE,Google Play Store
opne,5,10/13/2025,CBE,Google Play Store
mehommd nuri,5,10/13/2025,CBE,Google Play Store
Best,5,10/12/2025,CBE,Google Play Store
providing very secure service.,5,10/12/2025,CBE,Google Play Store
apk አሪፍ ነው ግን በጣም apkwun የሚከፍቱ የ ባንክ ሰራተኞች በጣም ደካማ ናቸው ሲያስተናግዱ ለ ደንበኛ ክብር የላቸውም እኔ መመላለስ ከጀመርኩ ቆየው ግን መፍትህ ላገኝ አልችልኩም ::,1,10/12/2025,CBE,Google Play Store
ዳር ኑሮ ላለው ኣፍሪቻን ው,5,10/12/2025,CBE,Google Play Store
RIYAD Mohammed Abaoli 92 527 2567,5,10/12/2025,CBE,Google Play Store
it doesn't show bank statement and no options to see transactions for the past months.,2,10/11/2025,CBE,Google Play Store
Mamma Husen,2,10/11/2025,CBE,Google Play Store
3 stars because I can't see all my transaction history apart from the recents and a refresh button has been removed from the Recents activity. The app should allow clients to view all of the transactions not just recents.,3,10/11/2025,CBE,Google Play Store
exceptional application from others bank,5,10/10/2025,CBE,Google Play Store
"it is very nice. but i have a serious suggestion when you send to other cbe birr customer, it does not show the name of the recipient befor it actually send the money. please improve this",4,10/10/2025,CBE,Google Play Store
good👍👍👍😊😊😊,5,10/10/2025,CBE,Google Play Store
really good app,5,10/10/2025,CBE,Google Play Store
smart bank CBE,5,10/10/2025,CBE,Google Play Store
Ali urgesa11,3,10/9/2025,CBE,Google Play Store
it's good,5,10/9/2025,CBE,Google Play Store
Good apps,5,10/9/2025,CBE,Google Play Store
password በጣት አሻራ ቢኖረው መልካም ነበር,4,10/9/2025,CBE,Google Play Store
best app i ever seen,5,10/9/2025,CBE,Google Play Store
it's game changing in financial system,4,10/9/2025,CBE,Google Play Store
"z,MKT 20_._!8+⅓⅕😘r",1,10/9/2025,CBE,Google Play Store
will good updating,5,10/8/2025,CBE,Google Play Store
"service charge , vat, fee everything here is not yours they wanna take what you have, everything is not fair",1,10/8/2025,CBE,Google Play Store
why removing screenshot feature why?,2,10/8/2025,CBE,Google Play Store
very good application! thank you all who participate!,5,10/8/2025,CBE,Google Play Store
application bank commercial Ethiopia I am very happy to be able to appear in a great job on a pleasant job,5,10/8/2025,CBE,Google Play Store
user compatible app!,5,10/8/2025,CBE,Google Play Store
"I am trying to access this app on my Android phone, but sometimes doesn't work. so kindly try to improve it.",3,10/7/2025,CBE,Google Play Store
