review,rating,date,bank,source,sentiment_label,sentiment_score,identified_themes
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-11-12,CBE,Google Play Store,Positive,0.0772,"['Customer Support & Service', 'Feature Requests & Reliability']"
ok,5,2025-11-11,CBE,Google Play Store,Positive,0.296,['Other']
cbe is my choice,4,2025-11-11,CBE,Google Play Store,Neutral,0.0,['Other']
Awesome,5,2025-11-11,CBE,Google Play Store,Positive,0.6249,['Other']
I am not able to transfer. The app is not responding,1,2025-11-11,CBE,Google Play Store,Neutral,0.0,['Transaction Performance']
Very convenient App,5,2025-11-11,CBE,Google Play Store,Neutral,0.0,['Other']
excellent but sometimes can not connect,5,2025-11-10,CBE,Google Play Store,Positive,0.5719,['Other']
wow apk,5,2025-11-10,CBE,Google Play Store,Positive,0.5859,['Other']
best 100 %,5,2025-11-10,CBE,Google Play Store,Positive,0.6369,['Other']
bad app,1,2025-11-10,CBE,Google Play Store,Negative,-0.5423,['Other']
best app,5,2025-11-10,CBE,Google Play Store,Positive,0.6369,['Other']
nice app,5,2025-11-10,CBE,Google Play Store,Positive,0.4215,['Other']
bad app,4,2025-11-10,CBE,Google Play Store,Negative,-0.5423,['Other']
the app constantly glitches and won't stop loading despite having a decent connection and a cleared cache. telebirr is way better,1,2025-11-10,CBE,Google Play Store,Positive,0.5411,['Other']
I can't access it properly I think it needs update,1,2025-11-10,CBE,Google Play Store,Neutral,0.0,"['Account Access & Security', 'User Interface & Experience']"
👌👌,5,2025-11-10,CBE,Google Play Store,Neutral,0.0,['Other']
best 👌,5,2025-11-10,CBE,Google Play Store,Positive,0.6369,['Other']
good,4,2025-11-10,CBE,Google Play Store,Positive,0.4404,['Other']
not Refresh,2,2025-11-10,CBE,Google Play Store,Neutral,0.0,['Other']
your statement is not used as wanted,1,2025-11-09,CBE,Google Play Store,Neutral,0.0,['Other']
good very good,5,2025-11-09,CBE,Google Play Store,Positive,0.7003,['Other']
this is absolute trash why because it's not Woking most time the servers are down even though I'm using 4g data Internet they steal not working they use to work with out even data package now it's trash can't even send money,1,2025-11-09,CBE,Google Play Store,Negative,-0.4939,"['Transaction Performance', 'Feature Requests & Reliability']"
Bayeee galatooma kana caalati nu gammachisa 🌏🤌🏻💴💸🥰👌🏻🙏🏻,5,2025-11-08,CBE,Google Play Store,Neutral,0.0,['Other']
Good !,5,2025-11-08,CBE,Google Play Store,Positive,0.4404,['Other']
i like it,5,2025-11-08,CBE,Google Play Store,Positive,0.3612,['Other']
Very nice app,5,2025-11-08,CBE,Google Play Store,Positive,0.4215,['Other']
the app is not functional this week.,4,2025-11-08,CBE,Google Play Store,Neutral,0.0,['Feature Requests & Reliability']
very updated bank,5,2025-11-05,CBE,Google Play Store,Neutral,0.0,['User Interface & Experience']
tankyu,5,2025-11-05,CBE,Google Play Store,Neutral,0.0,['Other']
Numbers 2 and 3 don't write during pin verification.,5,2025-11-05,CBE,Google Play Store,Positive,0.0772,['Account Access & Security']
"once it is uninstalled, you need to visit a nearby bank. you go there and they ask you to have a new sim card which hasn't been used before. so you should buy a new sim card and you go back to them with a new sim card, when you reach there service provider says authentication pin is not arrive, the system is not working come back tomorrow.",1,2025-11-05,CBE,Google Play Store,Neutral,0.0258,"['Customer Support & Service', 'Feature Requests & Reliability']"
loved it,5,2025-11-05,CBE,Google Play Store,Positive,0.5994,['Other']
Ok,1,2025-11-05,CBE,Google Play Store,Positive,0.296,['Other']
this app is not working on my phone,5,2025-11-03,CBE,Google Play Store,Neutral,0.0,['Feature Requests & Reliability']
CBE needs to show transaction fees before the transaction is confirmed and not after. This is a big issue as fees are no longer insignificant.,3,2025-11-03,CBE,Google Play Store,Negative,-0.34,['Transaction Performance']
"After the recent updates, I am unable to download a receipt. I can't see the names of account holders I've previously transacted with. Very important. Please fix it asap.",1,2025-11-03,CBE,Google Play Store,Positive,0.4767,['User Interface & Experience']
wow 😘😘😘,4,2025-11-02,CBE,Google Play Store,Positive,0.5859,['Other']
mobile banking broblem,5,2025-11-01,CBE,Google Play Store,Neutral,0.0,['Other']
good job,5,2025-11-01,CBE,Google Play Store,Positive,0.4404,['Other']
good,3,2025-10-31,CBE,Google Play Store,Positive,0.4404,['Other']
it is a good and clear apps to use,4,2025-10-31,CBE,Google Play Store,Positive,0.6705,['Other']
ለምንድን ነው ከንግድ ባንክ ወደ ቴሌብር 5 ብር ሲተላለፍ 11 ብር እንዲቆርጥ ያደረጋችሁት,1,2025-10-31,CBE,Google Play Store,Neutral,0.0,['Other']
